-40.62624905,-4.80041586
-40.62624905,-4.80208253
-40.62541571,-4.80208253
-40.62541571,-4.80291586
-40.62374905,-4.80291586
-40.62374905,-4.8037492
-40.62291571,-4.8037492
-40.62291571,-4.80458253
-40.62208238,-4.80458253
-40.62208238,-4.80541586
-40.62124905,-4.80541586
-40.62124905,-4.8062492
-40.61958238,-4.8062492
-40.61958238,-4.80708253
-40.61791571,-4.80708253
-40.61791571,-4.80791586
-40.61708238,-4.80791586
-40.61708238,-4.8112492
-40.61624905,-4.8112492
-40.61624905,-4.8137492
-40.61541571,-4.8137492
-40.61541571,-4.81458253
-40.60708238,-4.81458253
-40.60708238,-4.81541586
-40.60624905,-4.81541586
-40.60624905,-4.8162492
-40.60458238,-4.8162492
-40.60458238,-4.81791586
-40.60374905,-4.81791586
-40.60374905,-4.82041586
-40.60124905,-4.82041586
-40.60124905,-4.81958253
-40.59958238,-4.81958253
-40.59958238,-4.8187492
-40.59791571,-4.8187492
-40.59791571,-4.81708253
-40.59708238,-4.81708253
-40.59708238,-4.8162492
-40.59541571,-4.8162492
-40.59541571,-4.81708253
-40.59374905,-4.81708253
-40.59374905,-4.81958253
-40.59458238,-4.81958253
-40.59458238,-4.82041586
-40.59374905,-4.82041586
-40.59374905,-4.82208253
-40.59291571,-4.82208253
-40.59291571,-4.8237492
-40.59208238,-4.8237492
-40.59208238,-4.82541586
-40.59124905,-4.82541586
-40.59124905,-4.82708253
-40.58958238,-4.82708253
-40.58958238,-4.82791586
-40.58624905,-4.82791586
-40.58624905,-4.82708253
-40.58041571,-4.82708253
-40.58041571,-4.82541586
-40.57708238,-4.82541586
-40.57708238,-4.82458253
-40.57624905,-4.82458253
-40.57624905,-4.8237492
-40.57541571,-4.8237492
-40.57541571,-4.82458253
-40.57458238,-4.82458253
-40.57458238,-4.8237492
-40.57374905,-4.8237492
-40.57374905,-4.82458253
-40.57208238,-4.82458253
-40.57208238,-4.8237492
-40.57124905,-4.8237492
-40.57124905,-4.82291586
-40.57041571,-4.82291586
-40.57041571,-4.82041586
-40.57124905,-4.82041586
-40.57124905,-4.81958253
-40.57041571,-4.81958253
-40.57041571,-4.81791586
-40.56958238,-4.81791586
-40.56958238,-4.81541586
-40.56874905,-4.81541586
-40.56874905,-4.81458253
-40.56458238,-4.81458253
-40.56458238,-4.81541586
-40.56291571,-4.81541586
-40.56291571,-4.81458253
-40.56208238,-4.81458253
-40.56208238,-4.8112492
-40.56124905,-4.8112492
-40.56124905,-4.80958253
-40.56041571,-4.80958253
-40.56041571,-4.8087492
-40.55958238,-4.8087492
