date,agg_mean__avg_pr,avg_q
1989-06-01,0.7232959731606381,19.27
1989-07-01,0.7717820100407012,9.6631
1989-08-01,0.1529463813456539,3.5778
1989-09-01,0.0869437756042384,1.8867
1989-10-01,0.0017593345175355,1.1365
1989-11-01,0.0380539949060687,1.9993
1989-12-01,4.1008509886723,16.6706
1990-01-01,0.0668123796893093,5.8068
1990-02-01,6.159675146983081,10.2854
1990-03-01,1.3468015714460182,18.5477
1990-04-01,3.842669911335392,6.7678
1990-05-01,0.9747158297748192,5.9715
1990-06-01,0.117201637053052,2.3987
1990-07-01,0.6261873016773513,1.1458
1990-08-01,0.003763915712115,0.6668
1990-09-01,0.3558289904945184,0.4783
1990-10-01,0.0163679677335492,0.2135
1990-11-01,0.3505519957874671,0.032
1990-12-01,0.0968407761535322,0.5881
1991-01-01,3.870446919694871,6.1539
1991-02-01,4.769182219784085,9.7172
1991-03-01,6.899347702885593,79.2935
1991-04-01,2.856003705567673,51.134
1991-05-01,1.9544577519093835,12.8123
1991-06-01,0.2196279495067642,2.2473
1991-07-01,0.0149990730769461,0.9058
1991-08-01,0.001254638570705,0.3348
1991-09-01,0.0,0.051
1991-10-01,0.005096969193489,0.0039
1991-11-01,0.0258415248220378,0.0557
1991-12-01,0.0,0.0097
1992-01-01,3.366420080164208,0.0074
1992-02-01,3.479302895072005,3.311
1992-03-01,2.88761172282932,3.2294
1992-04-01,1.9012022264120807,7.5777
1992-05-01,0.0092413629532219,1.4797
1992-06-01,0.3051289029210089,0.4543
1992-07-01,0.0707248937366735,0.0042
1992-08-01,0.0008625640173596,0.0058
1992-09-01,0.0007292586692222,0.0
1992-10-01,0.001254638570705,0.0
1992-11-01,0.0,0.0
1992-12-01,0.0259107059621731,0.0
1993-01-01,0.5041962255985232,0.0
1993-02-01,1.3706249314158094,0.3489
1993-03-01,2.367612420427015,1.7377
1993-04-01,2.0525743670598016,5.4183
1993-05-01,1.5351509942453208,0.5245
1993-06-01,0.1517420354703756,0.0267
1993-07-01,0.5580299294276998,0.0
1993-08-01,0.0,0.0
1993-09-01,0.0317613040139576,0.0
1993-10-01,0.0106077629898759,0.0
1993-11-01,0.0,0.0
1993-12-01,0.6254509114040574,0.0
1994-01-01,3.0435272492815098,17.331
1994-02-01,3.047245505687436,12.4382
1994-03-01,5.717570350927722,16.7523
1994-04-01,3.6856358668304,36.5047
1994-05-01,1.2591836442383473,10.8203
1994-06-01,1.5023216211087655,3.6197
1994-07-01,0.260221138068928,2.8213
1994-08-01,0.012460637846311,0.8584
1994-09-01,0.0,0.4077
1994-10-01,0.0194416346581999,0.1187
1994-11-01,0.0143473883785964,0.0227
1994-12-01,1.0258032524371596,0.4765
1995-01-01,0.9198386732519392,0.09
1995-02-01,4.820899169756255,10.5604
1995-03-01,4.012373172621192,29.8752
1995-04-01,9.120507803626277,160.6523
1995-05-01,4.155765628013942,93.0216
1995-06-01,0.5411660849168188,14.2178
1995-07-01,0.4947429669045943,3.4728
1995-08-01,0.0003920745533453,1.5452
1995-09-01,0.0,0.4163
1995-10-01,0.3726108571159128,0.0616
1995-11-01,0.9218414878222488,0.3987
1995-12-01,0.1507603789481131,0.339
1996-01-01,4.059927020876411,4.1777
1996-02-01,1.5570025774979095,3.5052
1996-03-01,6.984777208087322,58.3597
1996-04-01,10.53672275969316,263.323
1996-05-01,1.1320375884628116,81.3303
1996-06-01,0.1452407535714638,4.9287
1996-07-01,0.0423360562991352,2.1094
